	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2015"																																																																
01953	"	Anesth burn each 9 percent"	N																																																															
01958	"	Anesth antepartum manipul"	N																																																															
0195T	"	Prescrl fuse w/o instr l5/s1"	C		NI9																																																													
01960	"	Anesth vaginal delivery"	N																																																															
01961	"	Anesth cs delivery"	N																																																															
01962	"	Anesth emer hysterectomy"	N																																																															
01963	"	Anesth cs hysterectomy"	N																																																															
01965	"	Anesth inc/missed ab proc"	N		NI6																																																													
01966	"	Anesth induced ab procedure"	N		NI6																																																													
01967	"	Anesth/analg vag delivery"	N																																																															
01968	"	Anes/analg cs deliver add-on"	N																																																															
01969	"	Anesth/analg cs hyst add-on"	N																																																															
0196T	"	Prescrl fuse w/o instr l4/l5"	C		NI9																																																													
0197T	"	Intrafraction track motion"	N		D15																																																													
0198T	"	Ocular blood flow measure"	N	0698	NI9																																																													
01990	"	Support for organ donor"	C																																																															
01991	"	Anesth nerve block/inj"	N																																																															
01992	"	Anesth n block/inj prone"	N																																																															
01996	"	Hosp manage cont drug admin"	N																																																															
01999	"	Unlisted anesth procedure"	N																																																															
0199T	"	Physiologic tremor record"	N	0215	D15																																																													
0200T	"	Perq sacral augmt unilat inj"	T	0050	CP12																																																													
0201T	"	Perq sacral augmt bilat inj"	T	0050	NJ9																																																													
0202T	"	Post vert arthrplst 1 lumbar"	C		NJ9																																																													
0205T	"	Inirs each vessel add-on"	N		NI10																																																													
0206T	"	Cptr dbs alys car elec dta"	N	0420	NI10																																																													
0207T	"	Clear eyelid gland w/heat"	N	0230	NI10																																																													
0208T	"	Audiometry air only"	N	0364	NI10																																																													
0209T	"	Audiometry air & bone"	N	0364	NI10																																																													
0210T	"	Speech audiometry threshold"	N	0364	NI10																																																													
0211T	"	Speech audiom thresh & recog"	N	0364	NI10																																																													
0212T	"	Compre audiometry evaluation"	N	0365	NI10																																																													
0213T	"	Njx paravert w/us cer/thor"	T	0207	NI10																																																													
0214T	"	Njx paravert w/us cer/thor"	N		NI10																																																													
0215T	"	Njx paravert w/us cer/thor"	N		NI10																																																													
0216T	"	Njx paravert w/us lumb/sac"	T	0207	NI10																																																													
0217T	"	Njx paravert w/us lumb/sac"	N		NI10																																																													
0218T	"	Njx paravert w/us lumb/sac"	N		NI10																																																													
0219T	"	Plmt post facet implt cerv"	C		NI10																																																													
0220T	"	Plmt post facet implt thor"	C		NI10																																																													
0221T	"	Plmt post facet implt lumb"	T	0050	NI10																																																													
0222T	"	Plmt post facet implt addl"	N		NI10																																																													
0223T	"	Acoustic ecg w/i&r"	N	0099	NJ10																																																													
0224T	"	Acoustic ecg 1+ analysis"	N	0690	NJ10																																																													
0225T	"	Acoustic ecg analy & reprog"	N	0690	NJ10																																																													
0226T	"	Anoscopy hra w/spec collect"	N	0420	D15																																																													
0227T	"	Anoscopy hra w/biopsy"	T	0147	D15																																																													
0228T	"	Njx tfrml eprl w/us cer/thor"	T	0207	NJ10																																																													
0229T	"	Njx tfrml eprl w/us cer/thor"	N		NJ10																																																													
0230T	"	Njx tfrml eprl w/us lumb/sac"	T	0207	NJ10																																																													
0231T	"	Njx tfrml eprl w/us lumb/sac"	N		NJ10																																																													
0232T	"	Njx platelet plasma"	N	0420	NJ10																																																													
0233T	"	Skin glycation spectroscopy"	A		NJ10																																																													
0234T	"	Trluml perip athrc renal art"	J1	0229	NI11																																																													
0235T	"	Trluml perip athrc visceral"	C		NI11																																																													
0236T	"	Trluml perip athrc abd aorta"	J1	0229	NI11																																																													
0237T	"	Trluml perip athrc brchiocph"	J1	0229	NI11																																																													
0238T	"	Trluml perip athrc iliac art"	J1	0319	NI11																																																													
0239T	"	Bioimpedance spectroscopy"	S	0097	D15																																																													
0240T	"	Esoph motility 3d topography"	S	0361	NI11																																																													
0241T	"	Esoph motility w/stim/perf"	N		NI11																																																													
0242T	Gi tract transit & pres meas	S	0361	D13																																																													
0243T	"	Intm msr bronchodil wheeze"	N	0077	NI11																																																													
0244T	"	Cont msr bronchodil wheeze"	S	0369	NI11																																																													
0245T	"	Open tx rib fx 1-2 ribs"	T	0062	D15																																																													
0246T	"	Opn tx rib fx 3-4 ribs"	T	0062	D15																																																													
