zip5,lat,lon,city_label,geocoded_at,source
98641,46.5485373,-124.0287274,98641,2026-02-05T23:14:25.476614,
98661,45.6466467,-122.6240582,98661,2026-02-05T23:14:26.500209,
98856,48.3643972,-120.1168023,98856,2026-02-05T23:14:28.143383,
98674,45.9216092,-122.6601171,98674,2026-02-05T23:14:28.702081,
98027,47.5182829,-122.0533894,98027,2026-02-05T23:14:29.878244,
98310,47.5881127,-122.6238851,98310,2026-02-05T23:14:33.123448,
83501,47.3241806,-122.354172,SW Dash Point Rd & SW 310th St,2026-02-05T23:14:37.888651,
98002,47.3064524,-122.215637,98002,2026-02-05T23:14:41.334848,
98409,47.2059061,-122.4792049,98409,2026-02-05T23:14:43.542758,
97005,45.491367,-122.7992733,97005,2026-02-05T23:14:45.772472,
98155,47.7564974,-122.303268,98155,2026-02-05T23:14:49.044208,
98903,46.5665319,-120.5174577,98903,2026-02-05T23:14:51.191867,
98026,47.8101652,-122.3421932,98026,2026-02-05T23:14:52.389364,
98272,47.8563555,-121.9793425,98272,2026-02-05T23:14:54.586315,
98629,45.8745393,-122.6353601,98629,2026-02-05T23:14:55.602663,
33837,47.297915,-122.2818997,33837,2026-02-05T23:15:02.577813,
98953,46.4058525,-120.2568777,98953,2026-02-05T23:15:03.478919,
32909,47.3065292,-122.1505304,32909,2026-02-05T23:15:04.873125,
98277,48.2969853,-122.6488647,98277,2026-02-05T23:15:06.695066,
98284,48.5230882,-122.2175717,98284,2026-02-05T23:15:07.843283,
98663,45.6515013,-122.6620195,98663,2026-02-05T23:15:08.897275,
99151,48.664373,-118.064105,99151,2026-02-05T23:15:12.263395,
98349,47.2687158,-122.7811275,98349,2026-02-05T23:15:14.462152,
98684,45.6315639,-122.5203936,98684,2026-02-05T23:15:15.539253,
98837,47.1312071,-119.2759913,98837,2026-02-05T23:15:16.651978,
99218,47.7443652,-117.4066232,99218,2026-02-05T23:15:17.711131,
98270,48.060023,-122.1463553,98270,2026-02-05T23:15:18.894782,
98625,46.0179771,-122.7907539,98625,2026-02-05T23:15:22.580569,
98375,47.0958617,-122.3162786,98375,2026-02-05T23:15:26.788043,
98403,47.2650359,-122.459866,98403,2026-02-05T23:15:27.802179,
71901,34.5023214,-93.0198605,71901,2026-02-05T23:16:57.397952,
83353,43.6807781,-114.3353752,83353,2026-02-05T23:17:01.814775,
82005,41.1540787,-104.8593923,82005,2026-02-05T23:17:03.382382,
90502,33.8259699,-118.2919724,90502,2026-02-05T23:17:05.245678,
29388,34.7685371,-82.0499735,29388,2026-02-05T23:17:05.405388,
84116,40.784951,-111.9306919,84116,2026-02-05T23:17:06.424922,
85051,33.558959,-112.1370184,85051,2026-02-05T23:17:07.620554,
42726,37.4079958,-86.1667685,42726,2026-02-05T23:17:11.175061,
59301,46.4006995,-105.8322098,59301,2026-02-05T23:17:11.437752,
92270,33.7696358,-116.4402484,92270,2026-02-05T23:17:12.402112,
96130,40.4143242,-120.6434913,96130,2026-02-05T23:17:13.561511,
85326,33.4120565,-112.54989,85326,2026-02-05T23:17:14.558516,
59937,48.4070612,-114.3580374,59937,2026-02-05T23:17:15.766948,
85715,32.2400859,-110.8478203,85715,2026-02-05T23:17:18.042984,
58425,47.4439102,-98.1212839,58425,2026-02-05T23:17:19.476538,
83422,43.7197992,-111.1040746,83422,2026-02-05T23:17:20.163621,
93117,34.4334222,-119.8621845,93117,2026-02-05T23:17:21.172634,
89408,39.6073372,-119.2424017,89408,2026-02-05T23:17:23.022226,
86312,34.60141,-112.345119,86312,2026-02-05T23:17:23.405114,
85374,33.6454878,-112.3996709,85374,2026-02-05T23:17:24.595280,
74133,36.033963,-95.87779,74133,2026-02-05T23:17:25.615974,
59925,48.1052047,-114.8237539,59925,2026-02-05T23:17:26.776067,
77399,30.6402214,-94.8708387,77399,2026-02-05T23:17:27.801965,
85344,34.1465013,-114.280394,85344,2026-02-05T23:17:29.054373,
92260,33.7291048,-116.388435,92260,2026-02-05T23:17:31.213182,
81121,37.0232101,-107.4193719,81121,2026-02-05T23:17:32.232122,
85338,33.4034118,-112.4193962,85338,2026-02-05T23:17:33.462911,
97501,42.3168029,-122.8834881,97501,2026-02-05T23:17:34.431025,
97304,44.9548877,-123.070089,97304,2026-02-05T23:17:35.678191,
89701,39.1456268,-119.748993,89701,2026-02-05T23:17:36.658301,
34953,27.2484998,-80.3810761,34953,2026-02-05T23:17:37.806760,
74825,34.8767337,-96.4173382,74825,2026-02-05T23:17:39.334963,
87031,34.7942704,-106.6864432,87031,2026-02-05T23:17:40.049634,
35576,33.5709553,-88.1131046,35576,2026-02-05T23:17:42.229475,
92029,33.0921804,-117.1062338,92029,2026-02-05T23:17:47.180010,
59725,45.1625037,-112.7004192,59725,2026-02-05T23:17:47.350312,
83815,47.716456,-116.7924315,83815,2026-02-05T23:17:48.413418,
92065,33.0265949,-116.8532631,92065,2026-02-05T23:17:49.528289,
92262,33.8382413,-116.5204057,92262,2026-02-05T23:17:51.751022,
97470,43.250676,-123.24241,97470,2026-02-06T00:23:50.635798,zcta
96064,41.754703,-122.365621,96064,2026-02-06T00:23:50.635817,zcta
97016,46.052109,-123.262509,97016,2026-02-06T00:23:50.635819,zcta
93312,35.391845,-119.119548,93312,2026-02-06T00:23:50.635821,zcta
97064,45.859077,-123.235525,97064,2026-02-06T00:23:50.635822,zcta
94597,37.917697,-122.071818,94597,2026-02-06T00:23:50.635824,zcta
97054,45.960809,-122.92737,97054,2026-02-06T00:23:50.635826,zcta
97321,44.65345,-123.139526,97321,2026-02-06T00:23:50.635828,zcta
97202,45.482012,-122.644451,97202,2026-02-06T00:23:50.635829,zcta
97703,44.176389,-121.382887,97703,2026-02-06T00:23:50.635831,zcta
97527,42.380766,-123.386568,97527,2026-02-06T00:23:50.635832,zcta
83843,46.722245,-116.940158,83843,2026-02-06T00:23:50.635834,zcta
97874,44.757809,-119.848465,97874,2026-02-06T00:23:50.635835,zcta
59923,48.270626,-115.313164,59923,2026-02-06T00:23:50.635836,zcta
92071,32.850685,-116.995314,92071,2026-02-06T00:23:50.635838,zcta
82414,44.403789,-109.606717,82414,2026-02-06T00:23:50.635840,zcta
54914,44.267634,-88.499046,54914,2026-02-06T00:23:50.635842,zcta
74804,35.391465,-96.921469,74804,2026-02-06T00:23:50.635843,zcta
76877,31.157059,-98.764007,76877,2026-02-06T00:23:50.635849,zcta
76557,31.293783,-97.40019,76557,2026-02-06T00:23:50.635850,zcta
76049,32.459823,-97.706972,76049,2026-02-06T00:23:50.635852,zcta
80126,39.542161,-104.963124,80126,2026-02-06T00:23:50.635853,zcta
97048,46.014428,-122.974795,97048,2026-02-06T00:23:50.635854,zcta
99918,55.916873,-132.695503,99918,2026-02-06T00:23:50.635855,zcta
99925,55.550203,-132.945947,99925,2026-02-06T00:23:50.635857,zcta
99919,55.645685,-132.49613,99919,2026-02-06T00:23:50.635858,zcta
99672,60.569633,-150.761371,99672,2026-02-06T00:23:50.635859,zcta
99504,61.190578,-149.607154,99504,2026-02-06T00:23:50.635860,zcta
99712,65.058583,-145.925646,99712,2026-02-06T00:23:50.635861,zcta
