addr_key,lat,lon,geocoded_at,source
1570 N 115TH ST|SEATTLE|WA|98133,47.712772,-122.336509,2026-04-17T08:52:23.104613,street
202 CULLENS ST NW|YELM|WA|98597,46.903256,-122.570951,2026-04-17T08:52:23.104625,street
4525 3RD AVE.SE STE 200|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T08:52:23.104636,street
939 CAROLINE ST|PORT ANGELES|WA|98362,48.110566,-123.414493,2026-04-17T08:52:23.104647,street
"1624 S. I ST, STE 204|TACOMA|WA|98405",47.247626,-122.4686,2026-04-17T08:52:23.104658,street
"1010 S 336TH ST, STE 330|FEDERAL WAY|WA|98003",47.31503,-122.312238,2026-04-17T08:52:23.104669,street
751 NE BLAKELY DR|ISSAQUAH|WA|98029,47.558756,-122.013214,2026-04-17T08:52:23.104681,street
112 E BROADWAY AVE|MONTESANO|WA|98563,47.082934,-123.67022,2026-04-17T08:52:23.104692,street
315 MARTIN LUTHER KING JR WAY|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.104702,street
150 DENNIS ST SW|TUMWATER|WA|98501,47.007719,-122.874136,2026-04-17T08:52:23.104716,street
1040 S HENDERSON ST|SEATTLE|WA|98108,47.535065,-122.305931,2026-04-17T08:52:23.104726,zip
751 NE BLAKELY DR|ISSAQUAH|WA|98027,47.518283,-122.053389,2026-04-17T08:52:23.104738,street
1720 COOKS HILL RD|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T08:52:23.104748,street
413 LILLY RD NW|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.104758,street
1620 COOPER POINT RD SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.104769,street
209 MLK JR WAY|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.104779,street
4800 COLLEGE ST SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T08:52:23.104788,street
200 MEDICAL PLAZA STE 140|LOS ANGELES|CA|90095,34.053691,-118.242766,2026-04-17T08:52:23.104799,city
418 LILLY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.104809,street
125 16TH AVE E|SEATTLE|WA|98112,47.618967,-122.312229,2026-04-17T08:52:23.104819,street
700 LILY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.104829,street
669 WOODLAND SQUARE LOOP SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T08:52:23.104839,street
304 WEST BAY DR NW STE 301|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.104849,street
1802 S YAKIMA SUITE 103|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.104859,street
2612 YELM HWY  SE|OLYMPIA|WA|98501,47.007719,-122.874136,2026-04-17T08:52:23.104869,street
"3920 CAPITAL MALL DR SW, SUITE 201|OLYMPIA|WA|98512",46.982195,-122.957654,2026-04-17T08:52:23.104881,street
310 6TH ST NE|AUBURN|WA|98002,47.306452,-122.215637,2026-04-17T08:52:23.104891,street
191 CONSTATINE WAY|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T08:52:23.104902,street
1615 DELAWARE ST|LONGVIEW|WA|98632,46.157953,-122.941369,2026-04-17T08:52:23.104912,street
1020 ANDERSON DR|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T08:52:23.104927,street
1101 MADISON ST STE 510|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T08:52:23.104938,street
1700 13TH ST|EVERETT|WA|98201,47.988681,-122.20335,2026-04-17T08:52:23.104951,street
1354 ALOHA ST|SEATTLE|WA|98109,47.626504,-122.329994,2026-04-17T08:52:23.105052,street
25989 BARBER CUT OFF RD|KINGSTON|WA|98346,47.798763,-122.499076,2026-04-17T08:52:23.105067,city
12717 COOPER POINT RD SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.105079,street
1450 5TH ST SE|PUYALLUP|WA|98372,47.228481,-122.282553,2026-04-17T08:52:23.105089,street
1959 NE PACIFIC STREET|SEATTLE|WA|98195,47.649411,-122.307638,2026-04-17T08:52:23.105098,street
615 LILLY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.105108,street
4525 3RD AVENUE SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T08:52:23.105118,street
424 LILY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.105128,street
325 9TH AVE|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T08:52:23.105138,street
9230 SKY ISLAND DRIVE E|BONNEY LAKE|WA|98391,47.171207,-122.178647,2026-04-17T08:52:23.105150,street
500 17TH AVE|SEATTLE|WA|98122,47.607112,-122.310904,2026-04-17T08:52:23.105161,street
149 LILLY RD NE|OLYMPIA|WA|98501,47.007719,-122.874136,2026-04-17T08:52:23.105170,street
3909 9TH AVE SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.105185,street
26004 104TH AVE SE|KENT|WA|98031,47.405729,-122.192589,2026-04-17T08:52:23.105196,street
660 SW 39TH ST|RENTON|WA|98057,47.478795,-122.212693,2026-04-17T08:52:23.105206,street
"4225 ROOSEVELT WAY NE, STE 400|SEATTLE|WA|98105",47.603832,-122.330062,2026-04-17T08:52:23.105216,city
915 S 6TH ST|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.105226,street
420 MCPHEE RD SW|OLYMPIA|WA|98503,47.024362,-122.804474,2026-04-17T08:52:23.105235,street
600 E MAIN|ELMA|WA|98541,46.983928,-123.356174,2026-04-17T08:52:23.105245,street
3333 ENSIGN ROAD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.105255,street
1624 S I ST|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.105265,street
601 ELMWOOD AVE|ROCHESTER|NY|14642,43.122813,-77.623585,2026-04-17T08:52:23.105275,street
1010 S SCHEUBER RD|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T08:52:23.105285,street
1740 COOKS HILL RD|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T08:52:23.105295,street
1708 S YAKIMA AVE STE 203|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.105305,street
1624 SOUTH I ST|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.105315,street
4525 THIRD AVENUE SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T08:52:23.105325,street
"3920 CAPITAL MALL DR SW, SUITE 201|OLYMPIA|WA|98502",47.070532,-122.951128,2026-04-17T08:52:23.105335,street
"1006 NORTH H. ST., FLOOR 5|ABERDEEN|WA|98520",46.976395,-123.794822,2026-04-17T08:52:23.105346,street
16259 SYLVESTER RD SW|BURIEN|WA|98166,47.45661,-122.349735,2026-04-17T08:52:23.105358,street
30 MT HWY 91 S|DILLON|MT|59725,45.162504,-112.700419,2026-04-17T08:52:23.105368,street
315 MLK JR WAY|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.105378,street
18313 PAULSON ST SW|ROCHESTER|WA|98579,46.823464,-123.046082,2026-04-17T08:52:23.105389,street
745 WILLIAMS ST|MOSSYROCK|WA|98564,46.524788,-122.478669,2026-04-17T08:52:23.105400,street
650 SIGNAL HILL|STATESVILLE|NC|28625,35.798031,-80.854606,2026-04-17T08:52:23.105410,street
4545 PT FOSDICK DR|GIG HARBOR|WA|98335,47.312965,-122.592697,2026-04-17T08:52:23.105421,street
3825 MARTIN WAY E|OLYMPIA|WA|98511,47.047018,-122.839497,2026-04-17T08:52:23.105433,street
1611 KRESKY AVE|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T08:52:23.105443,street
1225 MADISON ST|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T08:52:23.105454,street
3901 CAPITAL MALL DR SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.105466,street
21601 76TH AVE W|EDMONDS|WA|98026,47.810165,-122.342193,2026-04-17T08:52:23.105477,street
2525 NE 139TH ST|VANCOUVER|WA|98686,45.720713,-122.644805,2026-04-17T08:52:23.105488,street
521 ADAMS|MORTON|WA|98356,46.568723,-122.37178,2026-04-17T08:52:23.105499,street
400 S 43RD ST|RENTON|WA|98055,47.447982,-122.200482,2026-04-17T08:52:23.105511,street
424 LILLY ROAD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.105521,street
13051 US HWY 12|PACKWOOD|WA|98361,46.642508,-121.638571,2026-04-17T08:52:23.105532,street
"1708 S YAKIMA AVE, STE 203|TACOMA|WA|98405",47.247626,-122.4686,2026-04-17T08:52:23.105543,street
"19917 7TH AVE NE, STE 100|POULSBO|WA|98370",47.746699,-122.646711,2026-04-17T08:52:23.105553,street
1620 COOPER POINT RD SW|OLYMPIA|WA|98512,46.982195,-122.957654,2026-04-17T08:52:23.105564,street
915 6TH AVE STE 100|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.105576,street
"1608 SOUTH J STREET, 5TH FLOOR|TACOMA|WA|98405",47.247626,-122.4686,2026-04-17T08:52:23.105587,street
"5005 MAIN ST, STE 125|TACOMA|WA|98407",47.284212,-122.50725,2026-04-17T08:52:23.105598,street
413 LILY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.105608,street
9600 VETERANS DR SW|TACOMA|WA|98493,47.135244,-122.575761,2026-04-17T08:52:23.105619,street
3425 ENSIGN RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.105629,street
3901 CAPITAL MALL DR SE|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.105640,street
2732 N. ALVERNON WAY|TUCSON|AZ|85712,32.256981,-110.909683,2026-04-17T08:52:23.105654,street
4501 X STREET|SACRAMENTO|CA|95817,38.553553,-121.453209,2026-04-17T08:52:23.105665,street
5050 NE HOYT ST|PORTLAND|OR|97213,45.527137,-122.611458,2026-04-17T08:52:23.105675,street
1100 FAIRVIEW AVE N|SEATTLE|WA|98109,47.626626,-122.332457,2026-04-17T08:52:23.105685,street
1135 116TH AVE NE|BELLEVUE|WA|98004,47.621202,-122.185777,2026-04-17T08:52:23.105696,street
1701 N 13TH ST|SHELTON|WA|98584,47.177996,-123.056342,2026-04-17T08:52:23.105706,street
"1624 S I ST, STE 204|TACOMA|WA|98405",47.247626,-122.4686,2026-04-17T08:52:23.105716,street
500 LILLY RD|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.105726,street
5602 RUDDELL RD SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T08:52:23.105736,street
747 BROADWAY|SEATTLE|WA|98122,47.610618,-122.322078,2026-04-17T08:52:23.105746,street
3525-A ENSIGN ROAD|OLYMPIA|WA|98506,47.051052,-122.847728,2026-04-17T09:05:51.748107,street
1100 NINTH AVE|SEATTLE|WA|98101,47.603832,-122.330062,2026-04-17T09:05:53.847706,street
141 LILLY ROAD NE|OLYMPIA|WA|98506,47.048898,-122.846012,2026-04-17T09:05:54.947818,street
3610 ENSIGN RD NE|OLYMPIA|WA|98506,47.051195,-122.843833,2026-04-17T09:05:56.037637,street
800 W 5TH AVE|SPOKANE|WA|99204,47.647242,-117.426704,2026-04-17T09:06:47.265883,zip
1627 WOODS COURT|HOOD RIVER|OR|97031,45.610947,-121.601374,2026-04-17T09:07:36.433857,zip
1006 NORTH H ST  FLOOR 5|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T09:08:25.443978,street
615 LILLY ROAD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:09:13.620126,street
"3920 CAPITAL MALL DR, STE 203|OLYMPIA|WA|98502",47.070532,-122.951128,2026-04-17T09:10:03.788634,street
1921 SUMNER AVE|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T09:10:51.841046,street
3900 CAPITAL MALL DR SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:11:40.305297,street
3701 ENSIGN RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536328,street
1717 13TH ST STE 300|EVERETT|WA|98201,47.988681,-122.20335,2026-04-17T09:12:27.536345,street
319 E PIONEER AVE|MONTESANO|WA|98563,47.082934,-123.67022,2026-04-17T09:12:27.536348,street
1000 S SCHEUBER ROAD|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T09:12:27.536351,street
500 LILLY ROAD NE STE 201|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536354,street
MADIGAN ARMY HOSPITAL|TACOMA|WA|98433,47.09633,-122.589358,2026-04-17T09:12:27.536356,street
611 NORTH F ST|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T09:12:27.536361,street
INTERNAL MEDICINE DEPT|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536363,street
1006 NORTH H STREET|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T09:12:27.536365,street
1321 NE 99TH AVE STE 200|PORTLAND|OR|97220,45.550787,-122.55956,2026-04-17T09:12:27.536368,zip
413 LILLY ROAD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536370,street
200 LILLY ROAD NE STE C2|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536372,street
1100 9TH AVE|SEATTLE|WA|98111,47.606211,-122.333792,2026-04-17T09:12:27.536374,zip
407 14TH AVENUE SOUTHEAST|PUYALLUP|WA|98372,47.228481,-122.282553,2026-04-17T09:12:27.536377,street
304 W BAY DR NW STE 301|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536380,street
MIDWESTERN REGIONAL MED CTR|ZION|IL|60099,42.459988,-87.865021,2026-04-17T09:12:27.536383,zip
931 S MARKET BLVD|CHEHALIS|WA|98532,46.641682,-122.879187,2026-04-17T09:12:27.536385,street
110 DELPHI RD NW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536387,street
12040 NE 128TH ST|KIRKLAND|WA|98034,47.715809,-122.213748,2026-04-17T09:12:27.536389,zip
STAFFORD CREEK CORRECTION CENTER|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T09:12:27.536392,street
1000 S SCHEUBER RD|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T09:12:27.536394,street
5333 HOLLISTER AVE STE 201|SANTA BARBARA|CA|93111,34.449185,-119.804782,2026-04-17T09:12:27.536396,zip
4805 NE GLISAN ST|PORTLAND|OR|97213,45.538194,-122.600014,2026-04-17T09:12:27.536399,zip
